CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Churn
CUST00029,Female,38,0,137336.31,3,1,0,11132.66,Germany,1
CUST00030,Male,28,7,151366.22,3,0,1,140834.97,Spain,1
CUST00031,Male,55,6,177978.06,4,1,1,114446.89,Spain,0
CUST00032,Female,25,6,80243.93,2,1,1,67782.27,Germany,0
CUST00033,Female,59,9,174745.99,3,1,1,90826.9,France,0
CUST00034,Female,41,9,131697.98,1,0,0,140622.35,Germany,0
CUST00035,Male,52,9,168119.99,2,0,1,91558.44,Spain,0
CUST00036,Female,31,3,208958.32,3,1,0,41999.59,France,1
CUST00037,Male,31,5,46057.28,3,1,1,90202.35,Germany,0
CUST00038,Male,27,8,153387.73,1,0,1,132002.62,France,0
CUST00039,Male,29,2,13027.83,4,0,1,148243.0,Spain,1
CUST00040,Male,55,8,25528.77,1,1,1,91771.66,Spain,0
CUST00041,Male,61,3,168648.56,4,0,1,31790.32,Germany,0
CUST00042,Female,63,4,17734.41,4,0,1,118045.34,France,0
CUST00043,Female,51,6,148839.44,4,0,1,149567.59,Spain,0
CUST00044,Female,58,5,55003.15,3,1,0,76309.03,France,0
CUST00045,Female,27,9,76021.21,3,0,0,63722.59,Germany,0
CUST00046,Female,34,7,32409.13,4,0,0,87350.09,Germany,0
CUST00047,Male,34,7,62166.87,4,1,0,33067.27,Germany,0
CUST00048,Female,20,7,205322.95,3,1,0,145979.67,Spain,0
CUST00049,Female,48,2,159719.6,4,1,1,127366.86,Spain,0
CUST00050,Male,68,9,237439.95,3,0,1,25818.7,Spain,0
CUST00051,Female,18,5,12186.21,4,0,0,142311.41,Spain,0
CUST00052,Male,29,6,198103.0,3,1,1,141994.72,Germany,1
CUST00053,Female,56,8,174769.3,1,1,1,54289.66,Spain,0
CUST00054,Male,21,9,65223.08,4,1,1,96679.89,Spain,0
CUST00055,Female,59,9,182291.68,4,1,0,25505.6,Spain,0
CUST00056,Female,30,3,179137.14,1,1,0,21786.8,Germany,0
CUST00057,Male,51,4,114836.3,2,0,0,80251.24,Germany,0
CUST00058,Male,59,7,172159.9,4,0,1,16954.93,Spain,0
CUST00059,Male,38,0,111145.23,2,1,0,132484.83,France,0
CUST00060,Male,39,5,83886.4,1,0,1,139933.35,France,0
CUST00061,Male,21,3,116622.74,4,1,1,19422.9,Spain,0
CUST00062,Male,35,4,223782.37,2,0,1,16619.86,Spain,1
CUST00063,Male,22,4,96145.95,4,0,1,40998.49,Spain,0
CUST00064,Male,36,1,100922.04,4,1,1,140194.17,Germany,1
CUST00065,Female,19,7,152100.81,3,1,0,117662.05,France,0
CUST00066,Female,29,1,188249.87,2,1,0,104709.69,Germany,0
CUST00067,Male,34,3,183655.22,3,1,0,118688.61,France,0
CUST00068,Female,27,4,4949.68,3,0,1,37926.75,Germany,0
CUST00069,Female,51,0,171853.83,2,0,0,45922.37,Germany,0
CUST00070,Female,23,5,112638.51,2,1,0,54468.01,Spain,0
CUST00071,Female,25,1,131022.49,3,0,1,94709.23,Spain,0
CUST00072,Male,68,4,140415.83,4,1,0,95150.81,Spain,0
CUST00073,Female,28,5,182929.9,4,1,1,39205.08,Germany,0
CUST00074,Male,29,7,207833.25,1,1,1,71141.8,Spain,0
CUST00075,Female,26,8,161565.24,4,1,1,106602.78,Germany,0
CUST00076,Female,19,5,140976.81,2,1,1,53346.7,Germany,1
CUST00077,Female,25,4,93442.31,2,0,0,20566.79,Spain,1
CUST00078,Male,28,3,34469.55,1,0,0,37634.6,Spain,0
CUST00079,Female,53,1,239644.42,2,0,1,33062.99,Germany,0
CUST00080,Male,27,1,115460.57,3,1,0,98471.99,France,1
CUST00081,Female,38,6,141553.06,1,1,0,19596.86,France,0
CUST00082,Male,37,4,187768.28,1,0,1,133864.94,Germany,0
CUST00083,Female,65,6,17102.62,4,0,1,21814.2,Spain,0
CUST00084,Male,25,0,213752.75,4,1,1,93707.36,Spain,0
CUST00085,Male,53,0,199256.44,3,0,0,140134.57,Spain,0
CUST00086,Female,46,4,193607.15,3,1,0,18739.21,Germany,0
CUST00087,Male,59,1,5495.68,4,1,1,63634.68,Spain,0
CUST00088,Female,29,7,131629.71,4,1,1,55912.41,France,0
CUST00089,Female,31,2,13567.09,3,0,1,58189.23,France,0
CUST00090,Female,65,0,137718.14,4,1,0,94043.61,Spain,1
CUST00091,Female,67,1,179612.08,1,1,1,46694.43,Germany,0
CUST00092,Female,38,9,30462.56,3,0,0,13825.21,France,0
CUST00093,Female,39,9,173720.78,4,1,1,144718.51,Spain,0
CUST00094,Female,38,6,112383.21,2,1,0,114828.64,Spain,0
CUST00095,Female,61,5,202888.23,2,0,0,28917.86,France,0
CUST00096,Female,67,7,133397.23,3,0,1,73721.96,Germany,0
CUST00097,Female,47,6,84030.38,2,1,0,18781.04,Germany,0
CUST00098,Female,56,9,82997.89,2,0,0,13899.89,France,0
CUST00099,Male,37,7,224371.63,1,0,0,16651.64,Germany,0
CUST00100,Male,41,2,113217.9,3,1,1,115808.88,Spain,0
CUST00101,Female,40,5,101438.47,2,1,0,72289.35,Germany,1
CUST00102,Female,24,6,9968.41,4,1,0,128215.57,France,0
CUST00103,Female,26,9,91081.15,3,1,0,52730.11,France,0
CUST00104,Female,18,0,212406.76,3,1,1,118545.04,France,0
CUST00105,Female,43,0,190246.91,2,1,1,20910.84,Spain,0
CUST00106,Female,55,6,55228.3,2,0,1,98915.14,Spain,0
CUST00107,Female,55,2,103264.16,1,1,0,60484.27,Spain,1
CUST00108,Female,61,2,49144.92,4,0,1,48741.49,France,0
CUST00109,Male,39,4,238554.2,1,0,1,124115.27,Germany,1
CUST00110,Female,61,5,149529.47,1,1,1,17269.1,Spain,0
CUST00111,Male,27,1,188588.7,4,0,1,142934.4,France,0
CUST00112,Female,23,2,178452.16,2,1,0,119976.38,France,0
CUST00113,Female,34,5,218422.34,1,0,1,59785.3,Spain,0
CUST00114,Male,68,2,237331.94,3,0,1,148786.62,Germany,0
CUST00115,Female,67,4,8111.54,1,0,1,38348.49,Spain,0
CUST00116,Male,55,8,243825.29,4,0,1,66337.96,Germany,0
CUST00117,Female,41,2,217635.62,1,0,0,133883.14,France,0
CUST00118,Female,68,5,95736.85,1,0,0,149552.99,France,0
CUST00119,Male,27,4,209267.31,3,1,1,43475.79,France,0
CUST00120,Female,25,4,184139.5,4,0,0,114035.88,Germany,0
CUST00121,Male,38,5,198278.59,3,1,0,52802.11,Spain,1
CUST00122,Female,23,5,55172.76,2,1,1,117306.17,Spain,0
CUST00123,Male,38,0,162140.93,4,0,0,27539.76,Germany,1
CUST00124,Male,56,8,6481.47,1,0,1,57063.79,Spain,1
CUST00125,Female,41,4,212057.28,3,0,0,20499.94,Germany,1
CUST00126,Female,50,0,237760.74,3,1,1,78865.57,Spain,0
CUST00127,Male,35,7,165530.86,4,0,0,108210.08,Spain,0
CUST00128,Female,45,6,128167.41,3,1,0,63006.25,Germany,0
CUST00129,Female,69,6,181432.77,4,0,1,96060.37,Spain,1
CUST00130,Female,49,4,81590.32,2,0,0,89672.15,France,1
CUST00131,Male,29,0,156596.95,4,1,1,51243.51,France,0
CUST00132,Male,65,8,179743.23,4,0,0,78148.95,Germany,0
CUST00133,Male,59,8,35670.2,2,1,1,19662.67,Spain,0
CUST00134,Male,44,7,35017.0,2,0,0,74387.86,Germany,0
CUST00135,Male,27,4,179034.54,1,0,0,74146.53,Germany,0
CUST00136,Male,63,2,107945.62,3,0,0,14020.51,Spain,1
CUST00137,Male,69,7,222300.37,2,0,0,81942.25,France,0
CUST00138,Male,59,0,77984.72,2,0,0,113277.11,France,0
CUST00139,Male,49,2,10607.68,3,1,1,73315.3,Spain,0
CUST00140,Female,59,6,162469.01,3,1,1,100443.57,France,0
CUST00141,Male,43,3,171059.81,1,1,1,84538.94,Germany,0
CUST00142,Female,42,6,138397.9,1,1,1,119925.03,Germany,1
CUST00143,Female,28,4,170833.16,4,1,0,82023.74,Germany,0
CUST00144,Female,40,5,130938.59,1,0,1,56425.26,France,0
CUST00145,Male,51,6,173158.2,2,0,1,125859.63,Spain,0
CUST00146,Male,69,9,10984.35,2,0,0,19467.0,Spain,0
CUST00147,Male,57,6,92099.34,3,0,1,50523.87,Germany,0
CUST00148,Male,40,6,52704.23,1,0,0,92807.82,Germany,0
CUST00149,Female,46,6,24831.53,4,1,1,129843.71,Germany,0
CUST00150,Male,48,6,58523.16,4,1,0,20099.86,France,0
CUST00151,Male,24,2,47827.65,4,1,0,23447.41,Spain,0
CUST00152,Male,57,2,243282.85,4,1,0,49533.9,Spain,0
CUST00153,Male,50,6,71636.48,3,1,1,58240.07,France,0
CUST00154,Male,38,1,57739.74,1,0,0,128095.35,Spain,0
CUST00155,Female,19,1,208718.63,1,0,1,144246.45,Germany,0
CUST00156,Male,35,2,104779.05,1,0,0,12412.02,Spain,0
CUST00157,Female,64,3,105366.36,1,0,0,12149.86,Spain,0
CUST00158,Male,50,5,110897.62,4,1,0,131073.45,France,1
CUST00159,Female,54,7,104133.63,4,1,0,28986.38,Spain,0
CUST00160,Male,51,9,81641.36,3,0,0,57507.06,Germany,0
CUST00161,Male,37,9,71584.86,3,0,0,48529.89,France,1
CUST00162,Female,52,6,220489.92,4,0,1,49461.55,France,1
CUST00163,Female,68,3,40426.84,2,0,0,56002.87,France,1
CUST00164,Female,67,1,45265.59,1,0,0,57046.47,Germany,0
CUST00165,Male,35,1,142929.78,3,0,1,96821.82,Spain,0
CUST00166,Female,63,3,85914.64,4,1,1,98029.78,France,0
CUST00167,Male,41,5,105382.34,1,1,0,83204.88,Germany,1
CUST00168,Male,25,2,201636.65,1,1,0,130195.82,Germany,0
CUST00169,Female,47,5,225907.77,4,1,0,128394.06,Germany,0
CUST00170,Female,61,4,197638.42,2,0,0,40410.44,Spain,0
CUST00171,Male,27,4,58732.07,2,0,1,86109.54,Germany,0
CUST00172,Male,40,1,244992.82,3,0,1,119737.19,Spain,0
CUST00173,Female,69,7,90794.13,4,0,1,131362.41,France,0
CUST00174,Female,66,4,42266.77,3,1,1,45726.01,France,1
CUST00175,Female,28,1,124874.18,2,0,1,79174.02,Spain,0
CUST00176,Male,19,6,181321.44,3,0,0,83503.82,Germany,1
CUST00177,Male,43,8,20817.72,3,1,1,107949.36,France,1
CUST00178,Male,53,8,158571.73,2,0,0,56236.29,Spain,0
CUST00179,Male,50,0,214519.48,1,1,1,51083.25,Germany,0
CUST00180,Male,64,6,65445.37,1,0,1,108783.65,France,1
CUST00181,Male,30,8,173280.8,2,1,0,65906.97,Spain,0
CUST00182,Female,57,5,99977.16,1,1,0,10563.35,Germany,0
CUST00183,Male,42,0,103533.79,4,0,0,141298.52,Germany,1
CUST00184,Male,21,1,70203.51,1,0,0,30950.37,Germany,0
CUST00185,Male,59,3,156098.45,2,1,0,30808.78,Spain,0
CUST00186,Female,36,3,90249.81,4,0,0,124571.21,Spain,0
CUST00187,Male,35,1,207725.75,3,1,1,56970.4,Germany,0
CUST00188,Male,54,7,240726.36,2,0,1,55944.54,Germany,0
CUST00189,Female,47,1,233771.92,2,1,1,97135.36,Germany,0
CUST00190,Male,36,2,40782.09,1,0,1,18265.41,Germany,0
CUST00191,Male,40,3,3547.57,4,1,1,43174.64,Germany,0
CUST00192,Male,33,8,109617.09,2,1,1,17457.96,Germany,1
CUST00193,Male,18,9,182220.93,4,0,1,50811.35,France,0
CUST00194,Male,29,0,244363.82,4,0,1,131790.22,Germany,1
CUST00195,Female,41,7,195855.58,1,1,0,137306.56,Spain,0
CUST00196,Female,51,4,145137.33,2,1,1,53321.14,Spain,1
CUST00197,Female,25,6,6588.23,4,1,1,36262.14,Spain,1
CUST00198,Male,35,7,206385.17,4,0,0,28938.64,Spain,0
CUST00199,Male,65,4,44286.26,3,1,0,65218.68,France,0
CUST00200,Male,22,7,13901.63,1,1,1,125696.88,France,1
CUST00201,Female,43,9,212589.71,2,0,0,129372.88,Spain,0
CUST00202,Male,47,7,141562.72,4,1,0,16429.92,Spain,0
CUST00203,Male,30,8,32137.9,1,0,0,39292.04,Spain,0
CUST00204,Female,36,1,96635.67,2,1,0,38443.84,Spain,0
CUST00205,Male,46,2,21385.42,4,0,1,125980.23,Spain,1
CUST00206,Female,20,0,159502.7,2,0,0,73880.92,France,0
CUST00207,Female,43,3,70606.82,2,0,1,61575.33,France,0
CUST00208,Female,57,4,216523.53,1,0,0,143924.82,France,0
CUST00209,Male,29,0,89449.01,1,0,0,139550.02,Germany,0
CUST00210,Male,19,7,123658.47,3,0,0,71614.94,Spain,1
CUST00211,Male,28,1,15880.85,3,1,0,27966.46,Spain,0
CUST00212,Male,61,0,68898.15,3,0,0,33940.49,Germany,1
CUST00213,Male,45,1,169191.82,4,1,0,25691.75,Spain,0
CUST00214,Male,35,4,184065.69,3,0,0,105270.54,Germany,0
CUST00215,Male,30,8,60705.46,2,0,0,87656.19,Germany,0
CUST00216,Female,54,8,125955.02,1,1,0,87930.23,Germany,0
CUST00217,Male,39,1,204382.78,2,0,1,23772.9,Germany,0
CUST00218,Female,29,1,94977.54,1,1,1,121058.49,Spain,0
CUST00219,Male,19,2,33442.82,1,1,1,84980.2,Germany,0
CUST00220,Male,54,6,107967.6,2,1,0,22735.69,Spain,0
CUST00221,Male,24,2,150157.17,2,0,0,114598.31,Germany,0
CUST00222,Female,43,0,1849.63,4,1,0,147381.73,France,0
CUST00223,Female,43,5,87141.88,1,1,1,71765.27,Spain,1
CUST00224,Female,41,2,151858.96,3,1,0,26191.65,Germany,0
CUST00225,Female,29,0,237977.99,4,0,1,24195.88,Germany,0
CUST00226,Male,33,3,102137.18,3,0,1,13623.13,Germany,0
CUST00227,Female,40,0,40743.07,4,0,0,117855.74,France,1
CUST00228,Male,57,0,133554.77,1,0,1,107160.14,Spain,0
CUST00229,Male,26,1,71438.09,2,0,0,91793.5,France,0
CUST00230,Female,49,9,53694.85,2,1,1,117188.11,France,0
CUST00231,Female,32,7,147600.81,1,1,0,149901.67,France,0
CUST00232,Female,54,1,228970.88,2,1,0,66258.71,Spain,0
CUST00233,Female,30,1,208806.05,1,1,0,108813.43,France,0
CUST00234,Female,22,9,45573.13,1,0,0,62802.62,Spain,0
CUST00235,Female,28,9,191469.86,1,0,0,59288.1,Spain,0
CUST00236,Female,27,7,57467.16,4,0,1,129128.81,Germany,0
CUST00237,Female,69,5,72675.32,2,0,0,90466.84,France,0
CUST00238,Male,30,3,230012.88,4,1,0,26885.86,France,0
CUST00239,Female,58,2,227762.54,3,1,1,66492.24,France,0
CUST00240,Female,63,0,42157.69,1,1,1,121517.6,Spain,0
CUST00241,Male,67,2,16047.96,2,0,0,141599.74,Spain,1
CUST00242,Female,32,8,73279.53,3,1,1,96019.94,Spain,0
CUST00243,Male,59,4,145443.76,1,1,0,65189.92,France,1
CUST00244,Male,24,5,219222.92,3,0,0,45277.53,Spain,0
CUST00245,Female,57,4,29709.35,4,0,0,69083.32,Spain,0
CUST00246,Male,45,0,103739.63,4,1,1,89191.63,Spain,0
CUST00247,Male,49,9,67937.45,2,0,0,10618.34,Germany,0
CUST00248,Male,52,0,3732.24,3,1,0,47614.89,Spain,0
CUST00249,Male,32,3,197111.57,3,1,0,104012.23,France,1
CUST00250,Female,65,2,203321.05,4,1,0,104252.15,Spain,1
CUST00251,Male,53,7,55307.27,4,1,0,101420.94,Germany,1
CUST00252,Female,38,6,37810.06,2,1,0,142991.93,Spain,0
CUST00253,Male,23,6,36140.21,1,0,0,89596.39,Spain,0
CUST00254,Male,18,7,115986.8,2,0,1,47761.93,Germany,0
CUST00255,Male,21,9,61623.9,4,0,0,123625.78,France,1
CUST00256,Male,28,6,127838.91,2,1,0,64512.83,Germany,0
CUST00257,Female,61,9,96212.93,1,1,0,43500.67,Spain,0
CUST00258,Female,43,1,52722.58,4,0,1,87944.86,Spain,1
CUST00259,Male,54,3,187797.95,1,0,1,50464.82,Spain,0
CUST00260,Male,40,5,37590.97,2,0,0,65462.41,Spain,1
CUST00261,Female,46,2,199725.58,1,1,0,107042.06,France,0
CUST00262,Male,38,2,140361.6,4,0,1,149432.74,Spain,0
CUST00263,Male,65,5,208009.29,4,0,0,100262.42,Spain,0
CUST00264,Male,62,0,1189.76,1,1,0,48707.19,Germany,0
CUST00265,Female,62,0,187297.13,2,0,0,22665.18,France,0
CUST00266,Female,66,4,12878.9,2,0,0,60675.47,Germany,0
CUST00267,Female,44,0,237524.68,2,1,1,12703.5,Spain,0
CUST00268,Male,56,9,175684.87,2,1,0,75065.66,Spain,0
CUST00269,Male,57,7,80043.07,3,0,1,102397.73,Spain,1
CUST00270,Female,30,1,79962.62,3,1,0,81651.44,France,0
CUST00271,Female,40,5,215373.09,1,0,1,131139.52,Spain,0
CUST00272,Female,33,9,225710.03,3,0,0,79167.01,Germany,1
CUST00273,Female,47,9,222893.32,3,0,0,74733.21,Germany,1
CUST00274,Male,21,4,202185.07,3,0,1,53354.81,France,0
CUST00275,Female,57,9,204758.01,1,1,0,127265.92,Spain,1
CUST00276,Male,33,3,143191.98,3,1,1,136503.81,Spain,0
CUST00277,Female,48,0,7057.76,2,1,1,146908.62,Spain,0
CUST00278,Male,59,2,21693.32,2,0,0,147369.26,France,1
CUST00279,Female,42,3,162388.31,1,0,0,147259.31,France,1
CUST00280,Female,61,1,100291.29,1,0,1,109674.25,Spain,0
CUST00281,Female,29,1,141827.41,1,1,1,88771.41,Germany,0
CUST00282,Female,43,1,57769.41,4,0,1,34128.22,France,0
CUST00283,Male,54,0,162354.29,3,0,0,117388.85,France,1
CUST00284,Female,65,9,60707.39,1,0,0,112883.22,Germany,1
CUST00285,Male,50,1,115203.2,1,1,0,127936.3,Germany,0
CUST00286,Male,45,5,119679.97,1,0,1,74743.15,Spain,1
CUST00287,Male,26,2,44417.06,2,0,0,134939.0,Spain,0
CUST00288,Male,29,9,219051.93,1,1,1,110614.41,Spain,0
CUST00289,Female,22,4,131455.26,2,1,1,33957.55,Spain,0
CUST00290,Male,69,0,216695.94,2,0,1,38966.49,France,0
CUST00291,Male,45,7,65633.92,4,0,0,123997.17,Germany,1
CUST00292,Male,52,3,43083.99,1,1,0,69597.08,Spain,0
CUST00293,Female,22,8,4504.16,4,1,1,44861.81,Germany,0
CUST00294,Female,51,3,23466.16,1,1,1,69160.71,Spain,0
CUST00295,Female,63,1,36867.65,3,0,1,32592.88,Germany,0
CUST00296,Female,51,2,19713.89,1,1,1,134843.14,Spain,0
CUST00297,Male,30,4,224219.82,1,0,0,20015.52,Germany,0
CUST00298,Male,56,9,227859.58,1,1,0,59453.81,Spain,0
CUST00299,Female,59,5,234340.67,1,0,1,87970.03,France,0
CUST00300,Male,62,6,239965.21,1,0,0,132310.39,Spain,0
CUST00301,Male,65,3,122958.75,1,1,0,119416.84,Germany,0
CUST00302,Male,31,6,132506.16,4,1,0,13139.3,Spain,0
CUST00303,Female,28,9,32707.61,3,0,0,125534.74,France,0
CUST00304,Female,59,2,34263.01,4,1,1,99336.81,France,0
CUST00305,Male,55,6,193189.11,3,0,0,28668.78,Spain,0
CUST00306,Female,21,3,213932.27,4,0,1,96446.86,Germany,0
CUST00307,Female,50,7,196178.61,4,1,0,124505.19,Germany,0
CUST00308,Female,24,8,208643.97,1,0,1,94295.66,Germany,1
CUST00309,Female,58,6,69142.58,4,1,1,149880.54,Germany,0
CUST00310,Female,25,7,116516.45,3,0,0,80980.48,France,0
CUST00311,Male,54,7,114799.85,2,0,0,104238.35,France,0
CUST00312,Female,68,1,248820.85,3,1,0,19852.29,Spain,0
CUST00313,Male,27,8,237294.51,4,0,0,123847.74,Germany,0
CUST00314,Male,60,5,149621.53,2,0,1,97374.42,Spain,0
CUST00315,Female,32,3,34493.28,1,0,1,88573.99,France,0
CUST00316,Male,55,4,64649.01,2,1,0,109233.22,Spain,0
CUST00317,Male,32,9,90940.39,1,1,1,88471.37,Spain,0
CUST00318,Male,22,4,218302.91,3,0,1,117303.2,Germany,0
CUST00319,Female,46,6,42658.11,2,0,0,91692.18,France,0
CUST00320,Female,36,8,54936.73,2,0,0,82807.54,France,0
CUST00321,Male,68,6,87346.17,2,1,1,28902.73,Spain,1
CUST00322,Female,27,8,231727.55,1,0,0,76056.31,France,0
CUST00323,Female,29,3,125953.02,1,0,0,85352.85,Germany,1
CUST00324,Female,21,9,161709.01,3,1,1,97440.33,Spain,0
CUST00325,Female,48,9,96805.83,3,1,1,73824.9,France,1
CUST00326,Male,35,3,47130.53,4,0,0,30530.08,Germany,0
CUST00327,Male,33,5,55700.13,1,1,1,31050.77,France,1
CUST00328,Female,57,7,200667.81,3,0,1,110938.28,Germany,0
CUST00329,Female,53,8,223370.51,2,1,0,102602.61,Spain,0
CUST00330,Male,42,0,123268.91,2,1,1,46329.91,Germany,0
CUST00331,Male,40,0,89248.63,2,1,0,72420.06,France,0
CUST00332,Female,29,7,201958.78,3,1,0,52974.08,Spain,0
CUST00333,Male,51,6,168273.69,2,0,1,35343.2,France,1
CUST00334,Female,53,8,10218.49,2,0,1,55662.9,Spain,0
CUST00335,Female,54,2,87685.22,1,1,0,46776.47,France,0
CUST00336,Male,20,9,170543.24,1,0,1,21539.87,Spain,0
CUST00337,Male,26,4,143419.96,3,0,1,80628.12,Spain,1
CUST00338,Female,35,2,244516.83,1,0,0,73123.77,Germany,0
CUST00339,Female,60,4,216528.84,4,1,1,110045.17,Spain,0
CUST00340,Male,52,9,14934.6,3,1,1,96842.79,Spain,1
CUST00341,Female,51,0,181442.25,4,0,1,58072.94,Germany,1
CUST00342,Male,58,3,84081.65,4,0,0,79482.59,Spain,0
CUST00343,Female,31,5,170520.68,3,0,1,85051.64,France,1
CUST00344,Male,21,1,154306.15,1,0,0,138456.81,Germany,1
CUST00345,Male,46,6,125762.56,1,1,1,147437.21,Germany,0
CUST00346,Male,58,7,213237.39,3,0,1,124175.99,Spain,0
CUST00347,Female,62,0,177172.47,4,0,0,88694.64,Germany,1
CUST00348,Female,67,3,222388.78,3,0,1,139934.96,France,0
CUST00349,Male,32,3,70400.94,3,0,1,34935.78,Spain,1
CUST00350,Female,45,4,87031.88,2,0,1,107509.45,Spain,0
CUST00351,Male,59,3,155487.84,2,1,0,74465.48,Spain,0
CUST00352,Male,33,8,241616.11,4,1,0,30264.85,France,0
CUST00353,Female,29,6,92895.52,1,1,0,20529.4,France,0
CUST00354,Female,69,1,8073.41,2,1,1,77303.86,France,0
CUST00355,Male,22,0,111471.99,2,1,0,43455.69,Germany,1
CUST00356,Female,51,8,135982.39,4,0,1,45070.88,Germany,0
CUST00357,Female,59,0,200246.85,3,1,1,54830.36,Spain,0
CUST00358,Male,18,5,182150.12,2,1,0,110570.99,Spain,0
CUST00359,Male,56,1,241165.67,1,1,0,32972.54,Spain,1
CUST00360,Female,49,3,195670.69,4,0,1,110457.82,Germany,0
CUST00361,Male,43,5,74657.11,2,0,0,119579.39,France,0
CUST00362,Male,34,4,160345.08,4,0,0,93227.21,France,0
CUST00363,Female,65,5,168060.3,2,0,1,44658.05,Spain,0
CUST00364,Male,44,2,249505.13,2,1,1,17214.55,France,1
CUST00365,Male,41,4,34684.48,4,1,1,67112.32,Germany,1
CUST00366,Female,52,1,47831.38,1,1,0,128642.33,France,0
CUST00367,Female,63,6,38878.41,1,0,1,24261.84,Spain,0
CUST00368,Male,59,2,147265.03,3,1,0,114276.31,Spain,0
CUST00369,Male,56,0,33825.27,2,1,1,75504.57,France,0
CUST00370,Female,43,7,164001.93,3,0,0,135836.63,Spain,0
CUST00371,Female,66,7,200943.51,4,0,0,59867.73,Spain,0
CUST00372,Female,55,2,108198.23,3,1,1,108664.84,Germany,0
CUST00373,Female,40,6,140171.27,4,1,0,113616.71,Germany,1
CUST00374,Male,39,8,228180.52,1,1,0,37823.84,France,0
CUST00375,Female,21,7,142391.48,4,1,0,32140.57,Spain,1
CUST00376,Female,66,2,52151.39,4,1,1,22982.36,France,1
CUST00377,Male,26,1,85798.45,3,1,0,108221.53,Germany,1
CUST00378,Female,21,9,132461.45,2,0,1,86741.06,Germany,0
CUST00379,Male,24,6,38724.42,3,0,1,22140.63,Germany,0
CUST00380,Female,40,6,153129.96,1,1,0,53166.78,France,0
CUST00381,Female,19,8,249811.52,1,0,0,29928.5,Germany,0
CUST00382,Female,66,4,163133.74,1,1,1,22975.34,Spain,0
CUST00383,Male,41,3,93102.79,2,1,1,51827.96,Germany,0
CUST00384,Male,57,7,82936.62,3,0,0,23481.44,France,0
CUST00385,Female,48,3,232900.83,4,0,1,46426.04,Germany,0
CUST00386,Male,64,3,217878.57,4,1,1,87380.68,France,1
CUST00387,Male,48,1,118089.66,2,0,1,88526.59,Spain,0
CUST00388,Male,64,0,88353.64,1,1,0,33520.32,Germany,0
CUST00389,Male,57,3,177616.07,2,0,0,36741.89,France,0
CUST00390,Male,65,6,78625.62,4,1,1,129696.02,Spain,0
CUST00391,Male,68,8,29850.81,1,0,0,33370.89,Spain,0
CUST00392,Female,60,8,77538.05,2,1,0,16403.81,Germany,0
CUST00393,Female,51,9,108574.0,4,0,1,44274.92,Spain,1
CUST00394,Male,41,0,63852.84,4,0,1,90699.7,Spain,1
CUST00395,Female,66,4,54203.43,2,0,0,11011.43,France,0
CUST00396,Female,43,6,1535.04,4,1,0,147898.19,France,0
CUST00397,Female,33,6,157710.7,3,0,0,42254.55,France,0
CUST00398,Female,64,9,153612.24,3,0,0,43336.45,Germany,0
CUST00399,Male,30,5,47006.31,1,1,0,113406.45,Spain,0
CUST00400,Female,32,9,235912.52,3,1,0,44745.07,Germany,1
CUST00401,Female,44,3,102392.73,3,0,0,65461.19,Germany,0
